           0   1.0000000000000691        8.4540444230822030E-016
           1   1.2324161266779831E-002   5.4572639856766648E-003
           2   9.0210017483838105E-003   5.5087577350195526E-003
           3   6.6052628441267925E-003   5.5972915467680994E-003
           4   9.8854697491912950E-003   5.4244476622832436E-003
           5   1.0462412833089428E-003   5.6929993468251006E-003
           6  -6.7608080224900520E-004   5.6536639586771227E-003
           7   7.1136654360571304E-003   5.6396771097391432E-003



           0   1.0000000000000686        8.8163411100873127E-016
           1  0.12383503474769450        5.5836852097350034E-003
           2   4.0485072074750252E-002   5.6145851820992541E-003
           3   1.0485236683658396E-002   5.8465464319949929E-003
           4   1.4106987127496549E-002   5.5743684196391842E-003
           5   2.0527332969513475E-002   5.7332568830230340E-003
           6   1.3182576834203350E-002   5.7993854242624019E-003
           7   1.4870359994976472E-002   5.8953512067795042E-003



           0   1.0000000000000122        6.9179527261288312E-016
           1  0.31148029951270756        5.2350523145692314E-003
           2  0.14868649108323997        6.0698353508606131E-003
           3  0.10479844558038529        6.1908618259324446E-003
           4   8.4224607974659541E-002   6.3775264260899668E-003
           5   7.1098766846744710E-002   6.3739572800941332E-003
           6   7.0134792657690195E-002   6.4990632213048610E-003
           7   6.0559055379992864E-002   6.9708932723842624E-003



           0  0.99999999999999745        2.8674035674013623E-016
           1  0.43029794169653690        4.8147308719527606E-003
           2  0.25275322615272627        6.0924710523576871E-003
           3  0.17614253943006314        6.4903160970107851E-003
           4  0.14392508465421158        6.9043777816735407E-003
           5  0.12695169016458238        7.1927795467970025E-003
           6  0.11252494794093115        7.4404103310132799E-003
           7  0.10641203274946920        8.1194763138217087E-003



           0   1.0000000000000120        7.8367708254552928E-016
           1  0.50716427377522288        4.4227486129053461E-003
           2  0.33108644528735720        5.6856259285571632E-003
           3  0.24467468382989990        6.8783543492734718E-003
           4  0.20065527744712616        7.4768993728816851E-003
           5  0.18420797761954438        7.9524248879620819E-003
           6  0.16605126538592094        8.3640965982794239E-003
           7  0.15804919459398209        8.9729331037263511E-003



           0   1.0000000000000751        8.8860398658869837E-016
           1  0.56720190347376231        4.0621313446329421E-003
           2  0.37978624742265943        5.6326849814072478E-003
           3  0.28795535991566901        6.5189367999872582E-003
           4  0.23070950952512673        7.3720102341449890E-003
           5  0.20160609940895727        7.7970267242143988E-003
           6  0.18824908181209019        8.2096197015332599E-003
           7  0.18030546209683110        8.9042102753742643E-003



           0   1.0000000000001370        6.6685331156107327E-016
           1  0.60746460421616022        3.6742420191746418E-003
           2  0.43142225427987113        5.4774561808328256E-003
           3  0.34073052397801118        6.5938404108843883E-003
           4  0.28498101147820865        7.3109303177181255E-003
           5  0.25720932624084408        7.8044748570117945E-003
           6  0.24181324148843930        8.4167228354375418E-003
           7  0.23379078405969467        9.0251611313697591E-003



           0   1.0000000000001674        2.6349306229015177E-016
           1  0.64453089281876685        3.4109806513053093E-003
           2  0.47234573035704275        5.1780765506373172E-003
           3  0.37289471713233441        6.5034613264297828E-003
           4  0.31289848173207974        7.2345230696965789E-003
           5  0.27996978838989983        8.0279647818754189E-003
           6  0.25627370899165014        8.7665859886549586E-003
           7  0.24306593919769937        9.4461373538884483E-003



           0   1.0000000000002129        8.0202162218562973E-016
           1  0.67815981646761814        3.1108669389562455E-003
           2  0.51706837782273707        4.7969799043535667E-003
           3  0.42219028414805143        6.2039306336411021E-003
           4  0.35854725957283712        7.5111526728304226E-003
           5  0.31307679877116307        8.3888754686235988E-003
           6  0.29282839005146566        9.0876421750373595E-003
           7  0.27829934581050675        1.0068446579010421E-002



           0   1.0000000000001645        2.0102771924694281E-016
           1  0.70173164563307855        3.0483820639859932E-003
           2  0.53920065046769061        4.8662249696772115E-003
           3  0.44670569844987640        6.3173325725338148E-003
           4  0.38569753942647778        7.2653731127266712E-003
           5  0.34935013994003006        8.0490767674418779E-003
           6  0.32818777736687632        8.9921585708080450E-003
           7  0.31981819098449288        9.6429651064802412E-003



